Epoch,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageReturn,StdForwardProgress,AverageDiscountedReturn,MinEsReturn,AverageAction,StdReturn,MinReturn,QFunRegParamNorm,AveragePolicySurr,PolicyRegParamNorm,MaxForwardProgress,AverageAbsY,AverageQLoss,MinForwardProgress,AverageForwardProgress,StdEsReturn,AverageEsReturn,AverageQ,AverageY,AverageAbsQ
73,245.892377456,0.284236254696,273.114471201,149.114801236,0.14583882652,78.1322489415,66.3799721102,0.754253,53.7441854008,63.1939219155,49.1241,-4.81361,20.2543,0.703697013441,4.52301535112,0.253848,0.112868109197,0.462299490713,56.7702698796,136.159534387,4.52009,4.52298584186,4.52207
74,189.032930602,0.287188688713,267.383136525,127.220404184,0.143482560904,73.0880359844,8.2889600085,0.74564,46.9758132451,52.2521066056,49.5262,-4.87467,20.3211,0.701649965178,4.59229475093,0.26093,0.0857447350432,0.447465605315,54.2699117402,107.23508691,4.58952,4.5922677393,4.5916
75,214.628351143,0.292486839437,279.873437716,132.368564743,0.105813516835,75.8073461415,69.0169886198,0.763289,43.7891972297,77.2858827402,49.926,-4.93834,20.3747,0.761547526471,4.64840786124,0.280228,0.134370281503,0.539089372788,48.7906514772,126.165860862,4.64555,4.64839997913,4.64828
76,197.737877748,0.291876067852,182.394851377,109.181688762,0.0926479488306,70.1445620447,59.5099079763,0.774004,25.444616211,54.6186540899,50.1823,-4.98021,20.4341,0.672503532803,4.69537015465,0.277023,0.237633131631,0.515149754446,33.3816620166,112.754550703,4.69298,4.69533135584,4.69536
77,174.970879929,0.293676770628,269.130078151,118.851283248,0.0859292515693,72.5135781703,21.4253494913,0.738426,40.3684998954,66.2416382206,50.4952,-5.07468,20.4817,0.836539102362,4.77802272773,0.282155,0.254988333117,0.544228354438,33.1603813959,98.486089999,4.77471,4.77800273825,4.77647
78,229.344324183,0.306244674996,262.325497959,124.473025201,0.115824163337,73.065818241,62.0353241614,0.724034,44.1671743942,62.216306925,50.9273,-5.12796,20.5183,0.699725280046,4.83306019726,0.308069,0.197721724504,0.500082112083,49.5342961114,127.896182712,4.82913,4.83301244641,4.83141
79,161.26780559,0.300265231531,205.126871879,93.7369415117,0.12970097294,64.02192771,34.4424369244,0.75252,27.5678515505,30.5347670687,51.2414,-5.16191,20.5677,0.713763516333,4.87881438953,0.298974,0.0737922204302,0.47720581281,30.493302721,92.9864541267,4.87441,4.87875425616,4.87662
80,138.286274476,0.300717729517,190.199634587,105.177928255,0.110917905742,68.893666481,51.794174952,0.750029,27.7685133503,58.7697464349,51.6089,-5.25368,20.6023,0.733564202585,4.9476678162,0.30728,0.19031792506,0.524326889662,29.63174789,97.7062944828,4.94478,4.94759267078,4.94673
81,133.036954478,0.318014562419,266.886876686,120.472697409,0.139102459708,72.1713094869,63.1753666689,0.71397,42.5847398025,53.5302130151,52.0192,-5.29962,20.629,0.683824871303,5.00210566449,0.340866,0.0733934420736,0.474540539955,24.4183741151,97.6781682614,4.9972,5.00207332235,4.99959
82,182.92324542,0.318797003814,269.578281143,122.934215879,0.139900345711,72.4813712999,3.88078490466,0.669573,47.2098772596,45.8556457853,52.3781,-5.3862,20.657,0.731687012801,5.06429355932,0.340669,0.0770085511681,0.484904561862,37.1943928548,89.9034827626,5.06026,5.06429003668,5.0627
