AverageQ,MaxEsReturn,AverageEsReturn,AverageY,MaxReturn,AverageReturn,MinReturn,AverageDiscountedReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAbsY,AverageAction,MinEsReturn,AverageQLoss,Iteration,PolicyRegParamNorm,AveragePolicySurr,AverageAbsQ,Epoch,StdReturn
517.05,3768.91472325,3768.91472325,517.061049134,5471.95763027,4817.18505934,756.520515952,414.360946763,0.0,265.17,4.03292440811,517.064773746,0.999776,3768.91472325,307.714,1842,181.228,-519.255,517.057,1842,1375.44883677
516.366,3955.53401794,3955.53401794,516.368302189,5830.149093,5709.99488927,5574.92007873,450.399050953,0.0,265.248,4.25843639783,516.37151617,0.999783,3955.53401794,357.175,1843,181.299,-518.475,516.368,1843,89.7135124174
516.864,3998.66943374,3998.66943374,516.871033751,5300.40603375,2652.93027439,-520.158147745,312.042386987,0.0,265.305,3.93357169157,516.874059783,0.999771,3998.66943374,268.327,1844,181.347,-519.046,516.868,1844,2167.5475632
517.088,3965.48585438,3965.48585438,517.090047482,5740.52987902,4428.57020579,-222.452436529,379.331573584,0.0,265.367,3.91951305445,517.094277122,0.999741,3965.48585438,257.192,1845,181.352,-519.266,517.092,1845,1881.45721374
516.571,3572.85925842,3572.85925842,516.579591111,5357.70143227,3429.15250052,-298.896103653,319.607423809,0.0,265.471,3.94441629524,516.581349017,0.999829,3572.85925842,287.294,1846,181.408,-518.693,516.574,1846,2095.28101797
517.611,4034.00269168,4034.00269168,517.614698628,5206.07320276,3997.45652685,382.508508858,376.938117247,0.0,265.588,3.84083407626,517.615911901,0.999701,4034.00269168,231.582,1847,181.46,-519.724,517.613,1847,1556.32371141
517.52,3817.85440189,3817.85440189,517.51914477,5691.32614665,5442.61085004,5189.18028468,433.990735336,0.0,265.672,4.14831005007,517.520207666,0.9996,3817.85440189,331.923,1848,181.493,-519.604,517.521,1848,156.157093529
517.087,3763.58954859,3763.58954859,517.09784016,5612.52865504,4842.24189452,1793.06725021,404.902366701,0.0,265.741,3.84916000139,517.102995572,0.999766,3763.58954859,262.385,1849,181.556,-519.147,517.089,1849,1066.83798933
518.452,3849.36321224,3849.36321224,518.461623005,5283.79472716,4771.89622982,2152.70293994,397.524740047,0.0,265.829,3.81913320148,518.464189676,0.999531,3849.36321224,263.042,1850,181.585,-520.589,518.455,1850,897.498319903
517.905,3719.61431225,3719.61431225,517.91264927,5179.85521991,3792.77272838,-68.2184184029,330.516700198,0.0,265.906,4.03706616319,517.913221982,0.999725,3719.61431225,312.25,1851,181.636,-520.018,517.907,1851,1454.58257171
517.485,3123.79846831,3123.79846831,517.499103882,5990.54675379,4575.91667599,678.675225332,414.908901876,0.0,266.024,3.98818502848,517.500709309,0.999637,3123.79846831,279.268,1852,181.701,-519.63,517.487,1852,1628.83122021
518.209,3568.84718654,3568.84718654,518.188388136,5232.38373761,3427.66578695,684.759990956,394.615721857,0.0,266.164,4.15911171104,518.190035515,0.999727,3568.84718654,293.222,1853,181.787,-520.205,518.21,1853,1668.39342514
517.874,3344.67467026,3344.67467026,517.890242187,5051.35588104,2166.93411666,-154.373127358,363.465226582,0.0,266.237,4.11449518397,517.893486343,0.999834,3344.67467026,306.541,1854,181.86,-519.943,517.879,1854,1929.35539864
517.814,3724.53586851,3724.53586851,517.812638384,4055.90695383,2452.1226787,24.8065744381,295.496270165,0.0,266.332,4.18658714255,517.815166009,0.999589,3724.53586851,312.267,1855,181.904,-519.894,517.817,1855,1269.89144513
517.658,1219.53315181,1219.53315181,517.676879528,4746.61701117,1484.68472073,-224.408266579,260.627566321,0.0,266.382,4.07784815614,517.68264307,0.999622,1219.53315181,273.904,1856,181.987,-519.716,517.66,1856,1889.48832679
518.13,3568.0732958,3568.0732958,518.12619895,5897.74076855,3663.75858757,205.145974653,436.580515774,0.0,266.452,3.96919491621,518.130408741,0.999548,3568.0732958,233.413,1857,182.016,-520.105,518.133,1857,1986.46880702
517.823,1808.44969464,1808.44969464,517.830316075,5792.09289403,4845.49376306,1806.6086138,436.833207319,0.0,266.603,4.14762754387,517.83175498,0.999641,1808.44969464,295.214,1858,182.059,-519.9,517.827,1858,1381.04555591
517.778,3886.912039,3886.912039,517.798246348,5503.1515727,4867.47224988,2428.32530796,419.539182418,0.0,266.741,4.20132354941,517.798985031,0.99961,3886.912039,316.654,1859,182.105,-519.916,517.78,1859,1106.6892823
517.298,4087.4896936,4087.4896936,517.307371235,5613.17598861,4945.78793531,1569.49658602,427.685958411,0.0,266.864,4.35561638744,517.308541155,0.999741,4087.4896936,352.668,1860,182.192,-519.548,517.299,1860,1134.99448056
518.278,4036.51333585,4036.51333585,518.288875418,5404.32432527,4466.75100712,940.468521567,420.112654248,0.0,266.933,4.15753017006,518.289545009,0.999738,4036.51333585,321.993,1861,182.238,-520.473,518.279,1861,1592.54155662
518.773,3913.30287269,3913.30287269,518.774510702,5173.98713265,4676.71537233,2701.78245812,393.604310757,0.0,267.027,4.09619035748,518.774938806,0.999649,3913.30287269,281.439,1862,182.227,-520.937,518.774,1862,692.359513948
