Iteration,AverageAbsQ,Epoch,AverageEsReturn,AverageAction,AveragePolicySurr,AverageQ,StdEsReturn,PolicyRegParamNorm,MinEsReturn,AverageReturn,MinReturn,AverageY,AverageAbsY,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,AverageQLoss,MaxReturn,AverageDiscountedReturn,MaxEsReturn
105,191.042,105,215.718867158,0.57488,-196.478,190.869,138.935258333,45.5385,15.1026578376,511.416194673,460.906550721,190.889430373,190.944676645,4.66617711708,24.1618667146,77.4694,108.948,557.756217016,210.487075689,550.832248084
106,193.763,106,218.94372815,0.553991,-199.11,193.574,195.734629807,45.733,10.5831940591,455.340742191,435.155005455,193.587971297,193.641016267,4.65682275813,12.3312832451,77.8802,107.923,513.950148692,198.500229949,508.281159524
107,194.762,107,273.485651236,0.528871,-200.194,194.541,105.300941564,45.8998,88.3129234964,464.615704856,375.984240735,194.555072478,194.615890012,4.69092986452,85.1738858392,78.3315,103.797,691.051265355,197.506249515,476.316486285
108,196.016,108,235.634251459,0.454162,-201.576,195.805,130.342940229,46.1206,11.8947664621,669.697406563,451.895335447,195.828533445,195.902411776,4.68743371108,255.524895021,78.7482,106.331,1611.14080219,208.614160242,417.322271517
109,197.913,109,212.74713472,0.517765,-203.478,197.716,245.741192949,46.314,5.25598976064,574.376205784,288.464089389,197.737273646,197.794255818,4.68940991272,313.800053604,79.2502,105.136,1570.44348086,198.293140446,804.317802257
110,199.488,110,383.43327772,0.558199,-205.108,199.281,246.156883373,46.5634,64.4662914391,558.368530297,296.712065422,199.29222912,199.3439048,4.87528501183,132.694788982,79.6227,117.813,1101.38116926,212.587049208,794.423083701
111,201.749,111,178.86038906,0.517062,-207.432,201.55,132.477186637,46.7305,20.7921855819,409.563402595,333.387186593,201.578329237,201.6332984,4.78738220749,97.3351521058,80.0272,107.71,658.777938843,184.309371546,419.023015923
112,203.224,112,339.299351788,0.527215,-208.856,203.008,114.252466852,46.9106,149.182295329,771.607132782,336.404746375,203.018931418,203.066603856,4.87319762831,250.716824293,80.4147,116.451,1522.49446358,218.863279627,536.196833358
113,204.555,113,239.261617738,0.536333,-210.398,204.329,197.813300376,47.0797,64.0613952261,484.975626751,277.237042868,204.354877815,204.421026733,4.89354778036,167.437704648,80.793,114.828,905.780726866,194.50738028,636.054689447
114,206.772,114,180.967699188,0.536096,-212.414,206.579,145.103419591,47.2567,11.6923834826,537.298152763,266.622319153,206.604205102,206.646523467,4.78239105742,152.883735476,81.1966,102.924,1025.88369339,198.071597811,471.365999631
115,208.467,115,243.291927582,0.534932,-214.283,208.296,146.350086571,47.4519,40.3401562343,589.079117919,281.306385105,208.300067982,208.340308333,5.01115904467,326.327404076,81.6044,129.734,1692.43263153,196.969158898,422.524804902
116,209.88,116,247.680500494,0.534586,-215.735,209.688,170.872471928,47.6414,21.2136991115,517.574892525,225.959482198,209.716043501,209.762129294,5.05728371932,313.9667699,82.0705,120.361,1410.67980703,178.616182433,582.31871296
117,211.481,117,334.684112587,0.556193,-217.311,211.286,113.316160604,47.7998,64.5384676243,465.932040852,216.034711448,211.311532183,211.366147501,4.96462295999,203.732892549,82.5375,123.849,1332.23654943,183.062190339,414.024635688
118,212.458,118,223.816687686,0.556829,-218.144,212.259,273.527703134,47.9579,13.5921323275,706.811762319,343.733493994,212.278475268,212.331430815,5.00948150636,313.918966309,82.9203,131.128,1837.61619699,210.919967375,939.965314936
119,214.387,119,195.457767462,0.544726,-220.154,214.164,153.591049092,48.163,16.4908350711,881.200404469,465.723407075,214.179993548,214.23623562,4.9836302031,380.387867351,83.2834,124.853,2059.61660081,222.352322756,530.161420113
120,216.222,120,324.148315815,0.516266,-222.092,216.018,190.557494317,48.3646,18.0121379044,643.786794328,332.557805043,216.040209093,216.078309896,5.01447095762,163.941685242,83.7114,122.254,1051.64289152,210.154430255,629.630721545
