Iteration,AverageAbsY,AverageAbsQYDiff,AverageQLoss,MaxEsReturn,AverageY,StdReturn,MinReturn,AverageDiscountedReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageEsReturn,AverageAbsQ,MinEsReturn,StdEsReturn,QFunRegParamNorm,AveragePolicySurr,AverageQ,AverageReturn,MaxReturn
98,102.513173122,1.79361730288,20.9051,218.655311251,102.507027168,3.02129917341,192.181980365,123.37721555,98,46.6575,0.765228,153.683991232,102.553,4.93536049188,80.4316202467,62.807,-105.732,102.5,200.147884809,205.848999502
99,102.57319879,1.73926061866,17.8888,233.065344625,102.566820854,3.09927930803,203.365686685,127.414586557,99,46.8141,0.779323,177.859948233,102.623,14.8705650595,62.0889665999,63.0899,-105.773,102.561,210.580301207,220.51841183
100,103.305221263,1.8404355075,22.3502,217.823930193,103.299169187,3.49993218028,206.322718099,128.626801947,100,47.0136,0.787175,192.729205348,103.344,31.9531502518,51.5727708002,63.4026,-106.539,103.29,213.294626622,222.195115722
101,103.917368823,1.83278398568,20.9777,223.016540619,103.911932994,4.45059584956,197.558451529,126.748139917,101,47.0856,0.752496,201.860172039,103.959,159.044375252,18.9158607719,63.7335,-107.216,103.905,209.277941641,219.805535078
102,104.893980821,1.82939842325,21.0066,221.729478089,104.887969725,4.62053363217,196.484023103,125.023245926,102,47.2729,0.727943,187.025061635,104.944,12.0546084902,56.6535843519,64.0515,-108.008,104.886,204.651910124,214.488232811
103,104.675127371,1.75812879182,19.7575,217.810774351,104.667339104,2.68014250093,207.342812223,127.086379262,103,47.3788,0.626151,148.078315272,104.72,17.4865775461,76.7144932987,64.3428,-107.816,104.658,212.452614246,217.786129152
104,105.541027589,1.86888060447,23.3505,220.099087325,105.535515314,3.68009134084,185.529565048,121.023392341,104,47.5518,0.689434,173.266957988,105.588,12.1137214484,57.6462328686,64.6624,-108.665,105.534,195.10751724,202.614650238
105,106.199659601,1.84974389651,21.8431,224.481456219,106.190167536,3.09243363746,181.759989848,118.073605564,105,47.6921,0.70445,174.424423147,106.241,16.2157468604,67.1868697503,65.0001,-109.319,106.183,189.701307994,196.589309848
106,106.549422304,1.82897000357,21.554,225.888381313,106.54025559,8.30551753537,197.048713892,126.107993941,106,47.8595,0.702627,160.305754497,106.598,27.455138478,62.699055591,65.2942,-109.546,106.533,209.164921984,231.471147193
107,106.998268768,1.96787802229,23.993,246.56231195,106.990723615,6.18076433921,195.304643414,124.596566088,107,48.0405,0.698108,167.593746023,107.048,10.0995545617,80.1257037928,65.5064,-110.12,106.983,217.694431805,243.413855438
108,107.320981841,1.94427272291,25.3436,235.483566027,107.31073722,3.02358715675,205.288818808,123.744334223,108,48.1832,0.655475,171.238781446,107.378,19.2149682972,59.3484922048,65.7979,-110.489,107.309,218.377984658,223.730056607
109,108.13162365,1.94030604562,24.567,247.807783314,108.120760609,7.65431390171,212.854882501,123.211821469,109,48.3326,0.636102,140.129242381,108.18,15.7688457793,76.56903408,66.0344,-111.312,108.111,221.181391555,258.947780311
110,108.250525956,1.93502189253,24.2186,243.30871989,108.240872216,3.16039800176,211.880542938,123.288412352,110,48.4228,0.640219,175.403620602,108.299,79.55422333,57.6204967853,66.3584,-111.401,108.233,218.375600179,232.161456227
111,109.102390772,1.96324350643,24.3547,272.527684868,109.095300666,11.6915714804,213.535862455,123.858098258,111,48.6148,0.56022,198.785491948,109.145,67.5393433863,59.3408184259,66.6746,-112.202,109.09,223.878740898,259.793916431
112,109.605863799,1.94074350287,24.0541,243.186073105,109.59199697,9.1878000267,224.081214534,126.119472043,112,48.8278,0.666531,201.709467922,109.646,6.14484487752,70.5367295865,66.9371,-112.658,109.585,244.774088556,257.595004491
113,110.026501113,1.99413188786,23.6494,238.966733646,110.008145945,6.91400378344,228.765024242,125.8532634,113,48.9819,0.647338,157.067407706,110.077,9.55615932575,81.8632232358,67.1839,-113.266,110.001,239.097324749,257.310738636
114,110.824325287,1.99154694921,23.7232,242.541858416,110.815642576,5.72164085811,211.569106436,122.455314788,114,49.1625,0.691435,170.278889111,110.873,8.60530555537,85.4963688841,67.4204,-113.961,110.806,223.334649789,234.355212347
115,111.104118517,2.04096163518,27.0549,238.692245044,111.086501472,9.02313911171,229.693060051,124.900268828,115,49.3382,0.682973,199.093111035,111.151,101.905822059,36.1982754159,67.6718,-114.254,111.084,244.581629034,262.110187254
116,111.390552033,1.98068257915,24.4251,241.477269058,111.370177086,7.02146471522,161.631473901,113.01733964,116,49.5226,0.726087,154.947358792,111.436,11.4875078115,75.9365886884,67.9685,-114.417,111.363,188.775596713,202.298119411
