AveragePolicySurr,AverageReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageY,AverageQLoss,AverageAbsQ,StdEsReturn,AverageAbsY,MinReturn,MinEsReturn,AverageQ,Iteration,StdReturn,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageEsReturn,AverageDiscountedReturn,QFunRegParamNorm
-162.231,424.463365529,90,38.1639,0.71443,157.816593215,86.3941,157.899,120.56573279,157.853971052,365.608047132,23.7970513625,157.782,90,70.8548210709,376.703880194,4.10467583072,561.256609043,170.409665072,194.264916588,75.1858
-164.476,275.469861494,91,38.3691,0.697016,159.866845466,89.9944,159.973,139.990342755,159.902251227,141.239989583,43.678380164,159.847,91,92.552637069,497.015213652,4.15529633572,533.740971669,245.754838329,146.93737854,75.7793
-165.884,353.539065703,92,38.6374,0.741542,161.289734423,100.328,161.385,114.288405484,161.328283327,168.850547773,12.7196002025,161.266,92,28.9154920227,378.18569131,4.22508244355,384.912809587,213.692132325,173.429266197,76.3768
-168.438,412.754543039,93,38.8549,0.68643,163.828086046,86.8932,163.923,145.572301567,163.866892229,300.370679501,35.2996726227,163.801,93,87.0732807977,439.800328425,4.17296522897,559.204791394,228.601231269,184.733310254,76.9633
-169.734,322.422745189,94,39.0385,0.689788,165.268409883,97.3532,165.387,129.314788583,165.306874926,167.539422991,9.82356453024,165.246,94,76.4799893062,361.705088702,4.26585043162,498.388546114,186.533305477,162.205624772,77.5397
-171.762,383.593396015,95,39.2083,0.750941,167.187300205,99.0646,167.324,153.650677388,167.237984954,334.741491902,28.4251542437,167.166,95,35.7028688378,448.387377453,4.4007074038,522.613165556,270.293561838,180.659398989,78.0505
-174.079,490.87578325,96,39.3585,0.683749,169.492126311,96.856,169.617,150.728497383,169.548222514,276.507580159,10.0655170043,169.464,96,80.308445647,548.557477516,4.34733646543,730.240405784,191.185489842,190.102486353,78.5128
-175.78,387.384577497,97,39.5176,0.711534,171.159231908,109.08,171.261,108.481450749,171.19083292,357.542579508,15.8925049587,171.132,97,23.1753160985,434.676043001,4.54893415095,478.517764904,191.812252281,183.867051882,79.0811
-177.542,471.284167186,98,39.6957,0.692211,172.816215866,101.061,172.904,203.667582191,172.838979604,391.212155074,29.041572846,172.789,98,47.9607517312,549.280770004,4.42951235893,584.48753474,303.718309947,203.750791847,79.651
-179.4,556.775559607,99,39.8514,0.678161,174.683337988,113.781,174.775,125.371458081,174.722752628,331.297347788,19.3000530194,174.654,99,88.7582677974,373.926827655,4.67382037917,632.87465754,207.907248406,203.312123621,80.1824
-182.01,470.885542406,100,39.9928,0.69064,177.297999358,99.505,177.402,150.196429749,177.334283639,380.79532229,23.4676668714,177.276,100,62.6516221467,463.13355438,4.44285184338,572.376576457,187.300844811,203.997829157,80.6456
-183.689,424.736327374,101,40.2297,0.740214,179.128528283,105.333,179.249,139.435553625,179.16586127,366.989893447,27.3315527468,179.089,101,44.9855419754,480.929553353,4.51091824615,496.627937969,180.443610159,195.072879753,81.1529
-185.063,449.416780939,102,40.4172,0.730103,180.502066003,120.186,180.616,148.186233319,180.540131614,381.537742297,11.0193017927,180.475,102,47.0422972104,450.802035866,4.73354119114,529.992966892,200.508802626,201.62331763,81.8018
-186.641,382.96008316,103,40.6273,0.708151,182.071816851,102.052,182.182,142.360909032,182.114009799,373.805179159,14.5397317658,182.051,103,3.66105095955,382.159508848,4.51586061942,391.293165255,215.399426155,183.979396544,82.3739
-188.243,399.399743625,104,40.7778,0.763394,183.474538202,116.86,183.561,150.586939375,183.507264657,374.587412654,55.3746178062,183.435,104,17.9851035866,596.345082423,4.74874371164,459.671730284,255.434097811,189.849686045,82.8393
-190.427,435.888060556,105,40.9636,0.724287,185.599140889,140.026,185.693,186.542588644,185.63171908,382.534488196,10.9246293284,185.568,105,46.3643924606,564.82723244,4.98958721839,514.566628953,198.201255871,198.868656463,83.2076
-191.531,328.545689892,106,41.0988,0.761762,186.674027321,105.632,186.811,108.653571679,186.733514448,213.219196188,53.3618052891,186.64,106,79.5619531747,417.80124959,4.73962757574,427.662376632,216.406030693,166.800803133,83.5745
-193.815,431.474931329,107,41.2691,0.749063,188.924145886,128.266,189.053,98.5022572777,188.95469956,345.986130277,53.7243380437,188.907,107,49.8183881805,372.915131489,4.91187496689,513.403907814,204.322909023,196.746254247,84.0586
-196.404,442.246672511,108,41.4584,0.74816,191.537372907,126.968,191.619,122.526221245,191.561764089,360.538784375,12.9575500888,191.498,108,31.5226065156,405.410154503,4.90548481014,511.612910126,194.720456248,198.991925052,84.5226
-197.698,390.803455123,109,41.5871,0.761419,192.649467466,137.952,192.757,102.253071349,192.688269744,367.742378333,11.7462046545,192.629,109,5.82810257614,353.291670595,5.03842382007,401.864922517,123.936191611,187.52801037,85.009
-200.371,385.792028067,110,41.7003,0.80087,195.377459637,135.719,195.472,131.950672556,195.40877608,359.464826663,36.1773307219,195.348,110,19.3083379446,393.375799945,5.00079169605,446.203179044,246.453409456,186.29260513,85.5859
-201.67,455.089996743,111,41.8053,0.774392,196.622752945,128.493,196.762,151.390553003,196.664301678,394.538317753,16.8564428742,196.597,111,31.4113634749,452.989662632,5.02849231617,495.39654432,220.448380217,204.312957467,86.0932
-203.309,398.634777835,112,42.0378,0.734,198.089053376,151.203,198.207,136.398852412,198.123128238,339.534368648,87.3819729899,198.053,112,15.2236047607,517.739358188,5.25952480253,418.644490963,236.909083947,189.616167171,86.6062
-204.731,400.597266259,113,42.1824,0.791406,199.530761329,139.37,199.647,140.517057806,199.565992601,365.408727301,23.1653863929,199.495,113,23.639925264,456.221470603,5.11632904057,449.713124931,221.559082441,191.116433832,87.0041
-207.105,484.785785917,114,42.357,0.769005,202.075576034,134.494,202.203,109.525319078,202.124074167,408.109469205,27.4475126209,202.063,114,14.3553130846,382.446590401,5.09480238012,503.267670394,238.587975156,210.465145728,87.5428
