QFunRegParamNorm,PolicyRegParamNorm,AverageEsReturn,AverageAction,AverageReturn,AverageAbsQYDiff,AverageQLoss,AverageDiscountedReturn,AverageAbsQ,MinEsReturn,StdEsReturn,AverageQ,StdReturn,Epoch,MaxReturn,AverageAbsY,MinReturn,MaxEsReturn,AveragePolicySurr,Iteration,AverageY
41.9549,49.9818,2016.34328088,0.971729,2538.05333946,0.155311631944,0.108933,210.642856576,7.85801,2016.34328088,0.0,7.85801,57.1187658453,106,2610.36449655,7.85948681011,2402.91496767,2016.34328088,-7.98834,106,7.8594362595
42.1896,50.2203,2052.92092655,0.969689,3147.58311507,0.155334753042,0.110999,261.037002142,7.9847,2052.92092655,0.0,7.9847,98.3630663036,107,3284.5978666,7.98597802322,2987.26832776,2052.92092655,-8.10836,107,7.9859640891
42.3729,50.4559,2030.42635558,0.962107,2612.67699879,0.162011886849,0.133396,222.066341865,8.17199,2030.42635558,0.0,8.17199,680.050817196,108,3104.49052781,8.1726407295,847.85798141,2030.42635558,-8.30262,108,8.17261366995
42.5412,50.7071,2012.11134997,0.944461,2104.12421877,0.152119007334,0.0867605,235.256262656,8.26145,2012.11134997,0.0,8.26145,815.29307802,109,3153.84854134,8.26364344344,785.019988378,2012.11134997,-8.3906,109,8.26360854751
42.7526,50.9457,2148.70010348,0.947251,2489.3365415,0.159723804708,0.132262,236.768297649,8.44096,2148.70010348,0.0,8.44096,711.800208341,110,3469.72164163,8.44267690412,910.57704639,2148.70010348,-8.57269,110,8.44263721441
42.9894,51.1566,2062.26698683,0.949183,2196.28731336,0.154233859642,0.104416,227.005808087,8.6225,2062.26698683,0.0,8.6225,1216.16498734,111,3230.85859445,8.62369301238,-222.808136352,2062.26698683,-8.75511,111,8.62363910404
43.1907,51.3485,2122.7340539,0.95932,2512.39760005,0.153219593906,0.0930226,257.030576638,8.75225,2122.7340539,0.0,8.75225,655.595895034,112,3358.32007353,8.75323375838,1531.36281753,2122.7340539,-8.88379,112,8.75319076043
43.4088,51.5548,2027.14334958,0.953764,2293.69093243,0.161176322401,0.122471,228.820294323,8.91799,2027.14334958,0.0,8.91799,646.119989607,113,3080.00452239,8.91914521384,1253.91731116,2027.14334958,-9.05324,113,8.91909807095
43.5988,51.8031,2326.61890823,0.968546,3186.96313696,0.167989625831,0.160045,272.465747108,9.0391,2326.61890823,0.0,9.0391,629.186838083,114,3582.03407558,9.04104502133,1311.56475849,2326.61890823,-9.17293,114,9.04101124489
43.7992,52.0401,2185.45795175,0.976034,3084.00728085,0.167896419888,0.155683,242.775850416,9.23421,2185.45795175,0.0,9.23421,132.067777001,115,3222.65961586,9.23555569685,2792.73988697,2185.45795175,-9.36422,115,9.23547654555
44.0129,52.2648,2327.29064328,0.961674,2460.38875541,0.167755523566,0.132064,220.622728764,9.41596,2327.29064328,0.0,9.41596,762.237001889,116,3080.96369489,9.41761251419,949.958502747,2327.29064328,-9.55195,116,9.41757545469
