MaxEsReturn,Epoch,StdEsReturn,AverageReturn,QFunRegParamNorm,Iteration,AverageQLoss,AverageAction,AverageAbsQ,AverageAbsY,MinReturn,AverageQ,AverageAbsQYDiff,AverageY,AverageDiscountedReturn,MinEsReturn,AverageEsReturn,StdReturn,MaxReturn,PolicyRegParamNorm,AveragePolicySurr
453.427981606,94,135.035235839,320.807874599,74.9436,94,83.3983,0.793963,169.749,169.651492202,286.417594851,169.554,4.1948255256,169.576215003,163.983614947,12.0133749721,220.088039848,15.5766636552,350.128004324,44.8672,-173.762
279.212713371,95,81.0502058423,300.811614451,75.4006,95,90.2322,0.788966,171.04,170.930820902,239.431891326,170.82,4.2047933769,170.832137388,157.717856951,18.9303335149,157.019392765,30.6915848847,392.171341468,45.0276,-175.08
382.36392964,96,94.4549577529,362.151649561,75.7769,96,83.7155,0.77851,172.926,172.811759274,276.622603553,172.709,4.17786157953,172.723341441,173.377269184,68.1460933258,217.157014174,73.4388281781,526.07187031,45.2573,-176.917
468.625988518,97,117.587307033,428.782045981,76.1919,97,85.4079,0.78736,175.003,174.897940649,399.620429914,174.81,4.23624479045,174.824643238,196.894790716,83.5433856274,286.591066221,9.41778797573,449.97474515,45.4574,-179.025
430.175760459,98,130.279735354,456.30358826,76.6577,98,92.2009,0.771752,176.517,176.415416518,415.130599341,176.32,4.35936926585,176.33795995,203.209289025,44.6970447418,192.859229864,11.8074484156,475.581813254,45.6534,-180.585
388.803052942,99,128.33424698,449.271567975,77.039,99,80.7158,0.781994,178.3,178.196709212,429.72718319,178.103,4.17049705887,178.113305458,202.095556549,41.4913241024,224.464069113,9.52402778286,477.091740459,45.7924,-182.337
529.516764378,100,153.129787604,467.256306798,77.4781,100,89.4558,0.784709,180.374,180.276490231,446.481185094,180.162,4.29182725463,180.182132276,206.522408013,6.34302396396,240.164327672,6.35404241391,481.178062613,45.9495,-184.436
373.183975345,101,94.0920941189,453.664499396,77.9367,101,97.1652,0.762988,181.675,181.579483351,436.189785676,181.478,4.40197950933,181.493755937,203.018858387,45.8048494224,296.121345466,7.61612849046,467.19263059,46.1335,-185.713
363.326080942,102,132.130428434,462.193056449,78.4453,102,95.4516,0.76615,183.553,183.468141064,452.840267004,183.374,4.35639506642,183.390240654,204.11961486,4.34376940086,225.187196914,4.23301717129,471.149095525,46.3101,-187.635
476.514093691,103,145.078633754,410.136263439,78.9189,103,92.8009,0.779514,185.061,184.953618322,393.208188186,184.853,4.43261051513,184.866938832,192.006163073,18.6161086266,214.475662246,9.97500445573,433.074653663,46.4808,-189.256
518.333719567,104,151.968707151,417.889959776,79.4198,104,105.878,0.802261,187.112,187.010055501,398.381108041,186.92,4.60559965988,186.932690654,193.737443293,25.4702412354,275.798651363,11.6600728957,438.815136344,46.6124,-191.333
437.325926416,105,145.109781813,412.477432029,79.806,105,104.844,0.780563,188.188,188.078048228,379.11647728,187.995,4.52629730058,188.009171601,193.238503701,8.56792201751,184.179353477,13.7399695808,430.930326603,46.7908,-192.39
416.567777361,106,119.039702515,431.371993144,80.1787,106,100.585,0.772475,189.992,189.888477132,409.547373118,189.77,4.54360395554,189.796196221,196.431945927,36.3546400384,279.131248236,8.44248796707,449.491500997,47.0229,-194.179
497.630572728,107,155.369736339,420.720668066,80.5525,107,107.477,0.756422,191.937,191.836037824,396.598353221,191.728,4.66435822572,191.73746079,195.220640662,12.5539984184,208.735210098,11.330714058,446.850205727,47.1463,-196.143
436.86239838,108,86.289614323,404.345824492,81.032,108,105.596,0.765064,192.998,192.900172206,382.476517894,192.798,4.56574954208,192.811586319,190.092473129,159.972053863,266.649512485,8.69581069394,446.430218405,47.2785,-197.288
515.020845827,109,186.415424909,487.673334778,81.4332,109,100.79,0.769123,194.797,194.69125919,464.351350109,194.554,4.60924338671,194.571070829,210.657399798,4.62243302285,204.720433624,9.11592816834,503.837217666,47.3973,-199.143
556.866093074,110,196.56751651,420.339665735,81.8326,110,112.529,0.753869,196.676,196.555901534,289.614144961,196.436,4.82879812849,196.451642333,194.343967029,17.7218569331,249.127114729,41.8229793949,466.105603211,47.5814,-201.129
659.026741598,111,206.199598268,548.780891049,82.2941,111,110.874,0.763138,198.585,198.480938072,378.241548106,198.353,4.79428737937,198.372917167,211.601054246,11.3398252021,247.778356324,110.708418913,708.291701833,47.7471,-203.03
412.269400403,112,123.831026846,425.430894373,82.7123,112,108.062,0.776642,200.176,200.06498854,364.815689602,199.959,4.68878553953,199.972070484,196.198917337,7.9919338329,297.28944957,19.5128909948,464.34840943,47.8522,-204.654
417.881048846,113,133.980291844,424.358885016,83.2229,113,112.19,0.766063,201.468,201.349076279,331.908475609,201.249,4.77198037706,201.257602904,194.451614304,25.5140729885,288.657615332,44.3924312681,497.345639047,48.0339,-205.988
474.799934019,114,154.673915544,503.674313515,83.6686,114,101.789,0.774984,203.33,203.237794693,436.950529714,203.139,4.62080221852,203.156864689,211.693429348,16.8026406398,271.130400655,30.3188144514,551.389976214,48.1803,-207.785
517.545337097,115,155.585175054,488.063202524,84.0772,115,120.984,0.751646,205.418,205.290309736,476.464997855,205.19,4.86401947552,205.199194956,207.697284443,19.4535790446,251.470732274,6.74133880794,502.439299167,48.3226,-209.804
673.238301009,116,200.784414196,451.994429098,84.5408,116,118.897,0.752511,205.548,205.432737546,387.812759138,205.31,4.9346049807,205.330235523,198.432372773,22.8262771791,374.938242467,46.3527977118,588.053719454,48.4211,-210.0
602.456556563,117,174.826523018,509.694516643,84.9276,117,112.818,0.749493,208.024,207.905543398,401.1583247,207.798,4.76854749642,207.801297818,209.35454843,30.9775757706,379.749676294,80.0020262076,682.578535448,48.56,-212.49
673.668265039,118,205.755444355,425.879303697,85.4018,118,122.519,0.752188,209.367,209.263878458,400.949617158,209.114,4.90973853682,209.137398692,194.04540732,40.5874701183,347.266953787,24.0380494691,485.802106077,48.6957,-213.776
546.397853186,119,144.433561651,457.421786462,85.7763,119,120.32,0.714824,210.674,210.538558121,391.399282851,210.408,4.92796017001,210.425095091,201.014433909,15.2218274798,173.300855202,30.5952616658,555.871801748,48.8123,-215.198
515.515175409,120,161.862775837,482.280835928,86.2738,120,123.204,0.737016,212.32,212.182097697,388.56755057,212.041,5.10341669077,212.055372368,203.534191499,34.8345180562,297.088770224,69.4980664804,640.281134812,48.9815,-216.826
