AverageDiscountedReturn,AverageAbsQYDiff,AverageY,MaxReturn,AverageQ,AverageEsReturn,AverageAbsY,MaxEsReturn,AveragePolicySurr,MinEsReturn,AverageAction,AverageAbsQ,StdEsReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,QFunRegParamNorm,StdReturn,Epoch,Iteration,MinReturn
81.7631927866,0.090562847923,5.41337774042,1061.30441138,5.41272,765.860419974,5.41344278654,765.860419974,-5.49576,765.860419974,0.964709,5.41275,0.0,987.501548824,0.0364366,94.8272,72.6442,37.0590634289,93,93,916.558227003
87.8234151353,0.0897855109536,5.48583585005,1159.33336511,5.48483,696.122049854,5.48587442721,696.122049854,-5.56617,696.122049854,0.965966,5.48483,0.0,1066.24914966,0.0323926,95.2886,72.9861,45.1411985845,94,94,996.986662877
87.4895712798,0.093346742645,5.55809097171,1139.15384123,5.55727,705.259289695,5.55812626415,705.259289695,-5.64197,705.259289695,0.95556,5.55727,0.0,1045.56051633,0.0418445,95.6034,73.2893,151.875917068,95,95,603.532908976
64.8962059702,0.0947102714301,5.62650340102,1026.16122413,5.62551,784.356506167,5.62657475582,784.356506167,-5.70832,784.356506167,0.957315,5.62557,0.0,833.414054714,0.0413819,95.9823,73.6459,214.387157598,96,96,219.120980431
65.7350302507,0.0889217728644,5.70145669372,1035.90478739,5.70077,653.320506608,5.70148056809,653.320506608,-5.78231,653.320506608,0.953141,5.70077,0.0,888.227839856,0.0338461,96.3326,73.8902,145.358613002,97,97,504.432374367
62.6661488696,0.0934745727897,5.76276439633,1137.88924116,5.76205,697.794375657,5.7628228299,697.794375657,-5.84517,697.794375657,0.9544,5.76212,0.0,956.473832562,0.0416917,96.7801,74.2115,86.652052422,98,98,790.371474767
88.3581184904,0.0957905879833,5.82936217102,1136.70591637,5.82824,692.2479771,5.82938790387,692.2479771,-5.91086,692.2479771,0.958158,5.82824,0.0,1082.9688397,0.0463158,97.1451,74.6004,44.1508471461,99,99,986.58293632
73.689846492,0.0979304579959,5.88296767056,945.177089435,5.88198,771.287922501,5.88302949861,771.287922501,-5.96119,771.287922501,0.953539,5.88199,0.0,827.127916689,0.0524927,97.5833,74.9365,77.8876018917,100,100,710.355729571
79.9417848546,0.0943295025513,5.94298605858,1667.107322,5.94224,700.007088989,5.94305267952,700.007088989,-6.02086,700.007088989,0.964858,5.94226,0.0,948.581333828,0.0421218,97.9905,75.2378,245.503179849,101,101,774.288968569
76.4603042938,0.0992721055106,5.98574880961,1004.53692897,5.98479,515.349920245,5.98581645516,515.349920245,-6.06432,515.349920245,0.94849,5.98479,0.0,876.435972205,0.0550454,98.3976,75.5765,271.553451189,102,102,65.7453578739
76.3333225208,0.0958645513945,6.04650156763,947.606050045,6.04568,675.000676922,6.04654932508,675.000676922,-6.12473,675.000676922,0.948949,6.04568,0.0,892.184126225,0.0395285,98.7116,75.8418,30.5757657626,103,103,855.2176715
78.2006647924,0.101347118052,6.10027102564,977.683356954,6.09914,661.429239879,6.10031840299,661.429239879,-6.17798,661.429239879,0.954761,6.09939,0.0,922.953766744,0.0542501,99.1309,76.1549,44.4617339286,104,104,820.298042377
68.8448049268,0.0975169590836,6.169693468,1006.35978708,6.16903,695.910358945,6.16975029003,695.910358945,-6.25165,695.910358945,0.941901,6.16923,0.0,815.409698075,0.0485113,99.5738,76.4348,350.729957188,105,105,-221.41890068
78.9671659877,0.0977894265338,6.22549191777,1068.12950338,6.22447,683.148909336,6.2255470741,683.148909336,-6.30595,683.148909336,0.96459,6.22447,0.0,908.028604493,0.0491271,99.9273,76.7067,315.326651124,106,106,-28.4133139171
87.8006168674,0.0974856594805,6.28994943192,1103.7092124,6.28912,734.242890426,6.28996898927,734.242890426,-6.37082,734.242890426,0.964923,6.28912,0.0,1061.54461903,0.047105,100.293,76.9775,33.1583004562,107,107,1000.12729686
69.3888542105,0.100364384568,6.34230363687,1009.97802071,6.34188,733.659083393,6.34235625191,733.659083393,-6.42357,733.659083393,0.950765,6.34188,0.0,834.771822841,0.057406,100.65,77.2861,358.500171763,108,108,-237.851721221
96.0960628888,0.0964184498621,6.40510173068,1117.16415691,6.40396,774.647575877,6.40514215915,774.647575877,-6.48634,774.647575877,0.957126,6.40396,0.0,1053.98406594,0.0427157,101.044,77.5428,56.0535263625,109,109,940.490196769
84.1602574287,0.100971669438,6.46560376501,1148.69165583,6.46475,710.499448737,6.4656645814,710.499448737,-6.54406,710.499448737,0.960132,6.46475,0.0,1068.98016596,0.0553969,101.462,77.8693,42.2104285246,110,110,994.772685067
88.1329101577,0.0994741778161,6.52913430913,1068.05168534,6.52833,662.392747987,6.52917387794,662.392747987,-6.61286,662.392747987,0.956484,6.52833,0.0,1007.76271507,0.0528416,101.813,78.1394,42.101374142,111,111,950.662902743
74.5118324157,0.100210781102,6.59191935746,1067.27153472,6.59102,769.24245209,6.59196913562,769.24245209,-6.67764,769.24245209,0.968791,6.59111,0.0,966.62011794,0.0498509,102.193,78.3984,58.8296491796,112,112,880.332293042
89.140784021,0.102787277042,6.64794972917,1079.49053785,6.64688,715.125572721,6.64798674655,715.125572721,-6.73004,715.125572721,0.964202,6.64688,0.0,1014.02036059,0.0628707,102.552,78.6844,38.4253092183,113,113,928.808716518
76.2941345747,0.101267423995,6.70410005622,1084.64476158,6.7032,668.099843808,6.70413235832,668.099843808,-6.78468,668.099843808,0.95563,6.7032,0.0,1003.22466108,0.0588428,102.899,78.9472,65.3161397466,114,114,834.247705803
78.4108063474,0.107382707458,6.74887449477,1026.18138016,6.74801,705.099598797,6.74892843935,705.099598797,-6.8278,705.099598797,0.953428,6.74801,0.0,957.319264053,0.0784087,103.29,79.237,98.3038487865,115,115,673.327676702
90.3025399426,0.101322118455,6.80076284383,1129.57553694,6.79979,688.991044527,6.80079923849,688.991044527,-6.88192,688.991044527,0.954961,6.79979,0.0,1048.00578265,0.056439,103.683,79.523,50.4423241833,116,116,974.404542349
