MinReturn,AverageQ,AverageAbsQ,Epoch,MaxEsReturn,MinEsReturn,AverageY,AverageAction,AverageReturn,StdEsReturn,AveragePolicySurr,Iteration,PolicyRegParamNorm,AverageAbsY,AverageDiscountedReturn,StdReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss,MaxReturn,AverageEsReturn
1736.64247755,109.141,109.141,90,1435.80998742,1435.80998742,109.157800224,0.942491,3290.13464834,0.0,-110.99,90,42.6159,109.158078234,314.636278787,823.921359789,50.8885,1.74991184478,15.9105,4016.29269168,1435.80998742
1740.83337004,111.195,111.195,91,2688.46832941,2688.46832941,111.211272461,0.934804,3624.41903503,0.0,-113.077,91,42.8505,111.211571267,329.639224509,766.176717455,51.2368,1.84179280357,18.7873,4278.15878494,2688.46832941
890.668040793,113.993,113.993,92,2481.07272506,2481.07272506,114.005875276,0.922137,3358.7031119,0.0,-115.891,92,43.0594,114.00636412,296.690000488,831.354076589,51.6243,1.79604672126,17.8585,3881.81738995,2481.07272506
3693.07968563,116.281,116.281,93,2621.0538634,2621.0538634,116.297562212,0.928225,3874.2800074,0.0,-118.181,93,43.2634,116.297905623,313.113358904,79.2228779297,51.9665,1.84441095612,19.5064,4009.03245832,2621.0538634
892.254868295,119.265,119.265,94,2586.76523611,2586.76523611,119.28124511,0.935549,2731.32993803,0.0,-121.122,94,43.5069,119.281570429,306.040549904,1149.80300395,52.3208,1.89617660694,21.5966,4073.74207349,2586.76523611
1150.01372056,121.223,121.223,95,2569.15061642,2569.15061642,121.237979667,0.943283,2931.45992979,0.0,-123.088,95,43.7566,121.238280863,290.382408127,1130.15090627,52.6968,1.85295688388,19.6133,3985.18533871,2569.15061642
1157.57479208,123.672,123.672,96,2732.18079245,2732.18079245,123.68560867,0.912851,3088.4300245,0.0,-125.573,96,43.9674,123.685908127,289.761803628,907.473014803,52.9955,1.91970861222,22.0629,3964.15989847,2732.18079245
3846.18049498,126.126,126.126,97,2428.00686795,2428.00686795,126.142918696,0.92047,4025.81453034,0.0,-127.998,97,44.2005,126.143195685,328.77123769,108.795165669,53.2928,1.87504124552,20.3902,4236.93942641,2428.00686795
1377.26389054,128.42,128.42,98,2703.9570851,2703.9570851,128.436838965,0.93981,3783.54566086,0.0,-130.3,98,44.4409,128.437193056,331.1031218,819.434048293,53.5745,1.86657064349,20.1625,4218.53277734,2703.9570851
1685.41261919,130.622,130.622,99,2764.2751992,2764.2751992,130.63358645,0.927089,3505.63688205,0.0,-132.532,99,44.5887,130.633857268,344.963507527,814.527082138,53.9921,1.94221699168,23.8671,4277.10247477,2764.2751992
1237.69961369,132.821,132.821,100,2784.51416873,2784.51416873,132.839305856,0.953326,3504.41071228,0.0,-134.738,100,44.8053,132.839668846,316.37215367,890.220600392,54.3496,1.95876800769,24.598,4111.98771549,2784.51416873
1056.54914812,134.87,134.87,101,2538.58585637,2538.58585637,134.882940902,0.940141,2889.62827,0.0,-136.791,101,45.0053,134.883178654,300.508879433,1274.79329739,54.6411,1.92261334703,23.1557,4108.66613675,2538.58585637
3728.75009559,137.255,137.255,102,2616.18679851,2616.18679851,137.27240426,0.940375,3861.22862434,0.0,-139.147,102,45.1722,137.272711496,313.709568509,78.565691475,54.9622,1.92438770327,23.3702,3971.0694539,2616.18679851
79.5849714023,139.597,139.597,103,2679.56934561,2679.56934561,139.610552122,0.915308,3117.94234497,0.0,-141.501,103,45.3218,139.610912219,303.946973695,1268.04583986,55.2555,1.88786835477,21.2888,4027.30898826,2679.56934561
4136.87934515,141.869,141.869,104,2749.97584444,2749.97584444,141.883224985,0.92021,4231.80626429,0.0,-143.766,104,45.4859,141.883599725,348.194678327,56.8921097342,55.6193,1.94762792459,21.1364,4311.58864347,2749.97584444
1459.31071373,144.071,144.071,105,2766.09641103,2766.09641103,144.086025252,0.942177,3428.80501446,0.0,-145.995,105,45.7222,144.086308838,341.109085929,969.185924653,55.9559,1.93302053668,21.989,4250.71517554,2766.09641103
1186.401109,146.597,146.597,106,2753.89068234,2753.89068234,146.608226781,0.928904,3390.38937756,0.0,-148.509,106,45.9317,146.608513924,318.72927502,1033.39916634,56.265,1.99710873576,25.3179,4173.68766206,2753.89068234
2449.78756578,148.698,148.698,107,2545.47393356,2545.47393356,148.714864749,0.918615,4068.94005487,0.0,-150.589,107,46.1184,148.715238146,340.898759944,547.034164932,56.5314,2.06073256018,30.094,4402.06239016,2545.47393356
1322.12655413,151.22,151.22,108,2706.24963236,2706.24963236,151.232019766,0.942611,3426.20558201,0.0,-153.177,108,46.3489,151.232404824,336.623233264,1273.99793183,56.9092,2.07780622837,29.4691,4509.50785307,2706.24963236
2934.23379697,152.539,152.539,109,2704.59278475,2704.59278475,152.55853657,0.924031,4050.28219982,0.0,-154.513,109,46.5387,152.55872842,347.416602807,433.790443386,57.2272,2.02542779721,25.6717,4340.01033955,2704.59278475
1021.47919955,155.625,155.625,110,2772.21010083,2772.21010083,155.636220781,0.925004,2737.74730666,0.0,-157.633,110,46.7475,155.636452874,305.437587486,1372.91244918,57.5642,2.07282564071,28.1215,4369.01716939,2772.21010083
1285.10886098,157.704,157.704,111,2515.17448582,2515.17448582,157.721139866,0.921413,3031.08885994,0.0,-159.734,111,47.0029,157.721488647,300.134397425,1085.95139875,57.8424,2.06550334642,28.9417,4109.1993769,2515.17448582
2845.8072809,159.624,159.624,112,2610.70300986,2610.70300986,159.638644224,0.934554,4469.19570053,0.0,-161.643,112,47.1745,159.638882503,369.389193344,564.308757659,58.1828,2.10915981566,31.1424,4807.33768415,2610.70300986
562.100797766,161.765,161.765,113,3065.6186307,3065.6186307,161.783109446,0.945845,4076.06855887,0.0,-163.809,113,47.3808,161.783460073,333.399338791,1176.27492209,58.5177,2.18566223217,35.4056,4631.99209481,3065.6186307
989.531304167,164.104,164.104,114,2480.9185961,2480.9185961,164.12036299,0.935551,3011.54229551,0.0,-166.109,114,47.5685,164.120671708,336.942073685,1133.16479811,58.8204,2.18721616934,36.0234,4377.7488594,2480.9185961
815.89178966,166.244,166.244,115,2720.19643321,2720.19643321,166.258782066,0.925567,3628.76412577,0.0,-168.259,115,47.7802,166.258978962,291.607855658,1376.93937605,59.1288,2.18530314238,35.0356,4466.95885153,2720.19643321
754.122525669,168.924,168.924,116,2573.68634359,2573.68634359,168.938566451,0.944757,3246.2917831,0.0,-170.911,116,47.9208,168.938922614,319.018959982,1489.73239828,59.3971,2.12865361241,31.1099,4312.79968801,2573.68634359
4144.36012502,170.613,170.613,117,2932.48573498,2932.48573498,170.624578194,0.9166,4338.99612332,0.0,-172.647,117,48.1173,170.624894624,348.93540906,86.9265601467,59.7,2.24390435657,36.6195,4468.13377223,2932.48573498
